Month.Year,County,Infant,Preschool,School,Toddler
2024-09-01,Addison,93,246,193,65
2024-09-01,Bennington,133,313,171,109
2024-09-01,Caledonia,121,284,267,90
2024-09-01,Chittenden,306,705,622,232
2024-09-01,Essex,21,46,26,10
2024-09-01,Franklin,104,293,219,90
2024-09-01,Grand Isle,*,34,30,*
2024-09-01,Lamoille,84,172,118,62
2024-09-01,Orange,62,135,74,58
2024-09-01,Orleans,72,193,149,59
2024-09-01,Rutland,163,375,336,143
2024-09-01,Washington,86,218,127,59
2024-09-01,Windham,137,287,116,98
2024-09-01,Windsor,108,282,273,100
2024-08-01,Addison,89,259,265,63
2024-08-01,Bennington,124,347,196,101
2024-08-01,Caledonia,121,289,271,82
2024-08-01,Chittenden,287,738,831,210
2024-08-01,Essex,21,40,29,10
2024-08-01,Franklin,99,288,237,78
2024-08-01,Grand Isle,*,34,36,*
2024-08-01,Lamoille,78,181,136,64
2024-08-01,Orange,59,128,87,49
2024-08-01,Orleans,66,199,155,53
2024-08-01,Rutland,161,393,434,132
2024-08-01,Washington,76,222,194,51
2024-08-01,Windham,115,304,149,91
2024-08-01,Windsor,96,272,335,91
2024-07-01,Addison,73,209,249,56
2024-07-01,Bennington,121,342,187,98
2024-07-01,Caledonia,115,274,258,80
2024-07-01,Chittenden,256,694,740,209
2024-07-01,Essex,21,40,25,11
2024-07-01,Franklin,97,276,241,78
2024-07-01,Grand Isle,*,28,33,*
2024-07-01,Lamoille,72,165,109,51
2024-07-01,Orange,52,119,81,46
2024-07-01,Orleans,62,197,147,44
2024-07-01,Rutland,146,379,423,133
2024-07-01,Washington,67,193,183,53
2024-07-01,Windham,96,273,119,91
2024-07-01,Windsor,96,259,310,82
