Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-09-01,Barre District,0,*,*,0,11,*,456,17,35
2024-09-01,Bennington District,*,*,16,0,*,*,610,30,56
2024-09-01,Brattleboro District,*,*,14,0,12,*,369,28,85
2024-09-01,Burlington District,*,48,242,0,*,23,1012,108,413
2024-09-01,Hartford District,*,*,*,*,*,*,399,12,47
2024-09-01,Middlebury District,0,*,0,0,0,*,122,0,471
2024-09-01,Morrisville District,*,0,*,*,*,*,439,25,34
2024-09-01,Newport District,0,0,*,0,*,*,361,*,93
2024-09-01,Rutland District,*,*,36,0,*,*,834,24,108
2024-09-01,Springfield District,*,*,10,0,*,11,534,21,64
2024-09-01,St. Albans District,10,0,14,*,*,*,625,20,101
2024-09-01,St. Johnsbury District,0,*,*,0,0,0,280,14,528
2024-08-01,Barre District,0,*,12,0,13,*,504,19,40
2024-08-01,Bennington District,*,*,16,0,*,*,643,35,60
2024-08-01,Brattleboro District,*,*,14,0,12,10,389,31,81
2024-08-01,Burlington District,*,56,243,0,21,*,1091,105,531
2024-08-01,Hartford District,*,*,*,*,*,*,382,15,52
2024-08-01,Middlebury District,0,0,0,0,0,*,*,0,550
2024-08-01,Morrisville District,*,0,10,*,*,*,461,32,29
2024-08-01,Newport District,0,0,*,0,*,*,350,*,103
2024-08-01,Rutland District,*,*,39,0,13,*,933,29,101
2024-08-01,Springfield District,*,*,*,0,*,12,557,23,62
2024-08-01,St. Albans District,*,0,13,*,*,*,637,22,96
2024-08-01,St. Johnsbury District,0,*,*,0,0,*,277,14,528
2024-07-01,Barre District,0,*,12,0,*,*,464,18,41
2024-07-01,Bennington District,*,*,16,0,*,*,623,36,60
2024-07-01,Brattleboro District,*,*,11,0,*,13,340,23,70
2024-07-01,Burlington District,*,44,218,0,20,*,995,92,514
2024-07-01,Hartford District,*,*,*,*,*,0,346,16,46
2024-07-01,Middlebury District,0,0,0,0,0,*,*,0,487
2024-07-01,Morrisville District,*,0,*,*,*,*,394,29,25
2024-07-01,Newport District,0,0,*,0,*,*,319,*,118
2024-07-01,Rutland District,*,*,40,0,13,*,899,30,95
2024-07-01,Springfield District,*,*,*,0,*,13,529,23,58
2024-07-01,St. Albans District,*,*,12,*,*,*,615,24,92
2024-07-01,St. Johnsbury District,0,*,*,0,0,*,269,14,503
